#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
all.fasta	F15_assembly.fasta_contig_12	14182	15604	+	aslA	1-1428/1428	========/======	7/7	99.58	96.29	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218]	
all.fasta	F15_assembly.fasta_contig_2	1855726	1857366	-	yagW/ecpD	1-1644/1644	========/======	3/3	99.82	88.69	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F15_assembly.fasta_contig_2	1857356	1859873	-	yagX/ecpC	1-2526/2526	========/======	12/12	99.60	87.14	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F15_assembly.fasta_contig_2	1859899	1860567	-	yagY/ecpB	1-669/669	===============	0/0	100.00	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F15_assembly.fasta_contig_2	1860627	1861203	-	yagZ/ecpA	5-584/588	========/======	2/3	98.13	88.97	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F15_assembly.fasta_contig_2	1861280	1861860	-	ykgK/ecpR	11-591/591	========/======	2/2	98.14	86.43	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F15_assembly.fasta_contig_2	4805389	4807409	-	fyuA	1-2022/2022	========/======	1/1	99.95	99.01	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4807540	4809112	-	ybtE	1-1578/1578	========/======	4/5	99.68	99.43	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4809116	4809916	-	ybtT	1-804/804	========/======	5/5	99.50	98.26	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4809913	4811009	-	ybtU	1-1101/1101	========/======	3/4	99.64	99.18	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4811006	4820478	-	irp1	1-9492/9492	========/======	18/19	99.80	99.45	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4820565	4826658	-	irp2	1-6108/6108	========/======	14/14	99.77	99.25	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4826846	4827805	-	ybtA	1-960/960	===============	0/0	100.00	99.69	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4827970	4829771	+	ybtP	1-1803/1803	========/======	3/3	99.89	99.33	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4829758	4831556	+	ybtQ	1-1803/1803	========/======	4/4	99.78	99.33	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4831549	4832827	+	ybtX	1-1281/1281	========/======	2/2	99.84	99.38	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F15_assembly.fasta_contig_2	4832855	4834157	+	ybtS	1-1305/1305	========/======	2/2	99.85	99.62	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	960409	960986	+	ykgK/ecpR	11-591/591	========/======	3/3	97.80	86.40	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F19_assembly.fasta_contig_1	961063	961638	+	yagZ/ecpA	5-584/588	========/======	3/4	97.96	89.14	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F19_assembly.fasta_contig_1	961698	962365	+	yagY/ecpB	1-669/669	========/======	1/1	99.85	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F19_assembly.fasta_contig_1	962391	964906	+	yagX/ecpC	1-2526/2526	========/======	13/14	99.52	87.26	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F19_assembly.fasta_contig_1	964896	966537	+	yagW/ecpD	1-1644/1644	========/======	2/2	99.88	88.69	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F19_assembly.fasta_contig_1	966463	967214	+	yagV/ecpE	3-756/756	========/======	2/2	99.47	84.61	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F19_assembly.fasta_contig_1	1321902	1322671	-	fepC	17-788/816	========/======	2/2	94.36	80.31	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F19_assembly.fasta_contig_1	1330237	1331088	+	entB	1-858/858	========/======	4/8	99.18	82.07	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F19_assembly.fasta_contig_1	1331098	1331843	+	entA	2-747/747	========/======	5/8	99.33	80.40	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F19_assembly.fasta_contig_1	1763434	1764504	-	ompA	1-1041/1041	========/======	2/30	100.00	83.66	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
all.fasta	F19_assembly.fasta_contig_1	3256301	3257604	-	ybtS	1-1305/1305	========/======	1/1	99.92	99.54	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3257632	3258907	-	ybtX	1-1281/1281	========/======	5/5	99.61	99.53	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3258900	3260697	-	ybtQ	1-1803/1803	========/======	5/5	99.72	99.50	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3260684	3262482	-	ybtP	1-1803/1803	========/======	4/4	99.78	99.61	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3262649	3263609	+	ybtA	1-960/960	========/======	1/1	100.00	99.79	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3263798	3269892	+	irp2	1-6108/6108	========/======	15/17	99.75	99.34	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3269980	3279461	+	irp1	1-9492/9492	========/======	12/12	99.88	99.66	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3279458	3280556	+	ybtU	1-1101/1101	========/======	2/2	99.82	99.82	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3280553	3281355	+	ybtT	1-804/804	========/======	3/3	99.75	98.76	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3281359	3282931	+	ybtE	1-1578/1578	========/======	5/5	99.68	99.56	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F19_assembly.fasta_contig_1	3283062	3285083	+	fyuA	1-2022/2022	========/======	4/4	99.90	99.41	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	960371	960949	+	ykgK/ecpR	11-591/591	========/======	2/2	97.97	86.40	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F24_assembly.fasta_contig_1	961027	961603	+	yagZ/ecpA	5-584/588	========/======	3/3	98.13	89.31	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F24_assembly.fasta_contig_1	961663	962330	+	yagY/ecpB	1-669/669	========/======	1/1	99.85	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F24_assembly.fasta_contig_1	962356	964872	+	yagX/ecpC	1-2526/2526	========/======	11/11	99.60	87.22	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F24_assembly.fasta_contig_1	964862	966502	+	yagW/ecpD	1-1644/1644	========/======	3/3	99.82	88.75	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F24_assembly.fasta_contig_1	966428	967179	+	yagV/ecpE	3-756/756	========/======	2/2	99.47	84.75	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F24_assembly.fasta_contig_1	1321842	1322611	-	fepC	17-788/816	========/======	2/2	94.36	80.18	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F24_assembly.fasta_contig_1	1330177	1331026	+	entB	1-858/858	========/======	6/10	98.95	81.96	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F24_assembly.fasta_contig_1	1331036	1331780	+	entA	2-747/747	========/======	6/9	99.20	80.27	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F24_assembly.fasta_contig_1	1763388	1764456	-	ompA	1-1041/1041	========/======	4/32	99.81	83.47	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
all.fasta	F24_assembly.fasta_contig_1	3256146	3257449	-	ybtS	1-1305/1305	========/======	1/1	99.92	99.62	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3257477	3258752	-	ybtX	1-1281/1281	========/======	5/5	99.61	99.53	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3258745	3260543	-	ybtQ	1-1803/1803	========/======	4/4	99.78	99.50	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3260530	3262329	-	ybtP	1-1803/1803	========/======	5/5	99.78	99.56	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3262496	3263454	+	ybtA	1-960/960	========/======	1/1	99.90	99.69	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3263642	3269733	+	irp2	1-6108/6108	========/======	15/16	99.74	99.33	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3269820	3279301	+	irp1	1-9492/9492	========/======	12/12	99.88	99.66	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3279298	3280397	+	ybtU	1-1101/1101	========/======	1/1	99.91	99.82	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3280394	3281195	+	ybtT	1-804/804	========/======	4/4	99.63	98.39	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3281199	3282771	+	ybtE	1-1578/1578	========/======	5/5	99.68	99.62	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F24_assembly.fasta_contig_1	3282902	3284923	+	fyuA	1-2022/2022	========/======	4/4	99.90	99.31	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	2205579	2206157	+	ykgK/ecpR	11-591/591	========/======	2/2	97.97	86.23	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F28_assembly.fasta_contig_1	2206235	2206810	+	yagZ/ecpA	5-584/588	========/======	3/4	97.96	89.14	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F28_assembly.fasta_contig_1	2206870	2207537	+	yagY/ecpB	1-669/669	========/======	1/1	99.85	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F28_assembly.fasta_contig_1	2207563	2210078	+	yagX/ecpC	1-2526/2526	========/======	11/12	99.56	87.14	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F28_assembly.fasta_contig_1	2210068	2211709	+	yagW/ecpD	1-1644/1644	========/======	2/2	99.88	88.75	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F28_assembly.fasta_contig_1	2211635	2212386	+	yagV/ecpE	3-756/756	========/======	2/2	99.47	84.75	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F28_assembly.fasta_contig_1	2567172	2567941	-	fepC	17-788/816	========/======	2/2	94.36	80.31	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F28_assembly.fasta_contig_1	2575507	2576358	+	entB	1-858/858	========/======	4/8	99.18	81.84	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F28_assembly.fasta_contig_1	2576368	2577113	+	entA	2-747/747	========/======	5/8	99.33	80.40	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F28_assembly.fasta_contig_1	3008827	3009897	-	ompA	1-1041/1041	========/======	2/30	100.00	83.57	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
all.fasta	F28_assembly.fasta_contig_1	4502088	4503391	-	ybtS	1-1305/1305	========/======	1/1	99.92	99.62	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4503419	4504694	-	ybtX	1-1281/1281	========/======	5/5	99.61	99.53	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4504687	4506486	-	ybtQ	1-1803/1803	========/======	3/3	99.83	99.50	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4506473	4508273	-	ybtP	1-1803/1803	========/======	4/4	99.83	99.45	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4508440	4509399	+	ybtA	1-960/960	===============	0/0	100.00	99.69	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4509589	4515681	+	irp2	1-6108/6108	========/======	12/15	99.75	99.38	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4515768	4525252	+	irp1	1-9492/9492	========/======	9/9	99.92	99.67	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4525249	4526349	+	ybtU	1-1101/1101	===============	0/0	100.00	100.00	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4526346	4527147	+	ybtT	1-804/804	========/======	2/2	99.75	98.76	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4527151	4528723	+	ybtE	1-1578/1578	========/======	5/5	99.68	99.62	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F28_assembly.fasta_contig_1	4528854	4530874	+	fyuA	1-2022/2022	========/======	3/3	99.90	99.36	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	960103	960682	+	ykgK/ecpR	11-591/591	========/======	1/1	98.14	86.40	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F29_assembly.fasta_contig_1	960759	961334	+	yagZ/ecpA	5-584/588	========/======	3/4	97.96	88.97	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F29_assembly.fasta_contig_1	961394	962061	+	yagY/ecpB	1-669/669	========/======	1/1	99.85	86.40	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F29_assembly.fasta_contig_1	962087	964602	+	yagX/ecpC	1-2526/2526	========/======	12/12	99.56	86.94	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F29_assembly.fasta_contig_1	964592	966233	+	yagW/ecpD	1-1644/1644	========/======	4/4	99.82	88.63	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F29_assembly.fasta_contig_1	966159	966910	+	yagV/ecpE	3-756/756	========/======	2/2	99.47	84.75	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
all.fasta	F29_assembly.fasta_contig_1	1329777	1330628	+	entB	1-858/858	========/======	4/8	99.18	81.84	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F29_assembly.fasta_contig_1	1762841	1763909	-	ompA	1-1041/1041	========/======	4/32	99.81	83.29	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
all.fasta	F29_assembly.fasta_contig_1	3255200	3256502	-	ybtS	1-1305/1305	========/======	2/2	99.85	99.54	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3256530	3257808	-	ybtX	1-1281/1281	========/======	2/2	99.84	99.38	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3257801	3259599	-	ybtQ	1-1803/1803	========/======	4/4	99.78	99.22	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3259586	3261384	-	ybtP	1-1803/1803	========/======	4/4	99.78	99.28	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3261550	3262509	+	ybtA	1-960/960	===============	0/0	100.00	99.69	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3262697	3268790	+	irp2	1-6108/6108	========/======	13/14	99.77	99.20	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3268877	3278350	+	irp1	1-9492/9492	========/======	17/18	99.81	99.46	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3278347	3279442	+	ybtU	1-1101/1101	========/======	4/5	99.55	99.45	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
all.fasta	F29_assembly.fasta_contig_1	3279439	3280239	+	ybtT	1-804/804	========/======	3/3	99.63	98.38	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
