#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
all.fasta	F15_assembly.fasta_contig_19	5549	5867	-	IncI2_1	4-324/324	========/======	2/2	98.46	98.75	plasmidfinder	KP347127	IncI2_1__KP347127	
all.fasta	F32_assembly.fasta_contig_4	22558	22670	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F32_assembly.fasta_contig_4	49190	49408	-	IncFII_1_pKP91	10-230/230	========/======	2/2	95.22	95.93	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F32_assembly.fasta_contig_4	129582	129832	-	IncR_1	1-251/251	===============	0/0	100.00	99.20	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F34_assembly.fasta_contig_2	2680	2793	-	Col440I_1	1-114/114	========/======	2/2	99.12	94.78	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F34_assembly.fasta_contig_2	7641	7920	+	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F34_assembly.fasta_contig_2	8546	8654	+	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F34_assembly.fasta_contig_3	115834	116084	+	IncR_1	1-251/251	===============	0/0	100.00	99.20	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F34_assembly.fasta_contig_3	127483	127702	-	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F35_assembly.fasta_contig_2	976	1088	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F35_assembly.fasta_contig_2	5685	5798	+	Col440I_1	1-114/114	========/======	2/2	99.12	93.04	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F35_assembly.fasta_contig_3	41311	41530	+	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F35_assembly.fasta_contig_3	52939	53188	-	IncR_1	1-251/251	========/======	1/1	99.60	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F35_assembly.fasta_contig_4	4519	4627	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F35_assembly.fasta_contig_4	5254	5534	-	Col440II_1	2-282/282	===============	0/0	99.65	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F35_assembly.fasta_contig_4	9935	10043	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F41_assembly.fasta_contig_1	3014	3233	+	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F41_assembly.fasta_contig_1	14641	14890	-	IncR_1	1-251/251	========/======	1/1	99.60	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F41_assembly.fasta_contig_6	136764	137180	-	IncA/C2_1	1-417/417	===============	0/0	100.00	98.08	plasmidfinder	JN157804	IncA/C2_1__JN157804	
all.fasta	F41_assembly.fasta_contig_7	13424	13981	-	IncFIB(K)_1_Kpn3	1-560/560	========/======	2/2	99.64	98.04	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
all.fasta	F41_assembly.fasta_contig_7	111007	111243	-	IncFII_1_pKP91	1-230/230	========/======	4/9	99.57	86.97	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F43_assembly.fasta_contig_1	130612	131028	-	IncA/C2_1	1-417/417	===============	0/0	100.00	98.08	plasmidfinder	JN157804	IncA/C2_1__JN157804	
all.fasta	F43_assembly.fasta_contig_3	1532	1644	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F43_assembly.fasta_contig_3	7232	7511	+	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F43_assembly.fasta_contig_3	8138	8246	+	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F43_assembly.fasta_contig_4	3335	3447	+	Col440I_1	1-114/114	========/======	1/1	99.12	90.35	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F43_assembly.fasta_contig_4	6884	6996	+	Col440I_1	1-114/114	========/======	1/1	99.12	90.35	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F43_assembly.fasta_contig_5	2242	2461	-	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F43_assembly.fasta_contig_5	142862	143112	+	IncR_1	1-251/251	===============	0/0	100.00	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F47_assembly.fasta_contig_1	92183	92403	+	IncFII_1_pKP91	10-230/230	========/======	2/2	95.65	95.50	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F47_assembly.fasta_contig_1	103836	104087	-	IncR_1	1-251/251	========/======	1/1	100.00	99.21	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F47_assembly.fasta_contig_5	518	626	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F47_assembly.fasta_contig_5	1254	1533	-	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F47_assembly.fasta_contig_5	6393	6506	+	Col440I_1	1-114/114	===============	0/0	100.00	91.23	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F47_assembly.fasta_contig_5	10379	10491	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F53_assembly.fasta_contig_2	2784	2896	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F53_assembly.fasta_contig_3	33184	33404	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F53_assembly.fasta_contig_3	44818	45068	-	IncR_1	1-251/251	===============	0/0	100.00	99.20	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F53_assembly.fasta_contig_4	716	824	+	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F53_assembly.fasta_contig_4	2225	2337	+	Col440I_1	1-114/114	========/======	1/1	99.12	90.35	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F54_assembly.fasta_contig_2	118431	118681	+	IncR_1	1-251/251	===============	0/0	100.00	99.20	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F54_assembly.fasta_contig_2	130079	130298	-	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F54_assembly.fasta_contig_3	1493	1605	-	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F54_assembly.fasta_contig_3	6196	6308	-	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F87_assembly.fasta_contig_2	99870	100090	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F87_assembly.fasta_contig_2	111495	111744	-	IncR_1	1-251/251	========/======	1/1	99.60	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F87_assembly.fasta_contig_3	1211	1319	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F87_assembly.fasta_contig_3	1947	2226	-	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F87_assembly.fasta_contig_3	4915	5023	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F87_assembly.fasta_contig_3	5650	5929	-	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F87_assembly.fasta_contig_4	3557	3669	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F87_assembly.fasta_contig_4	8050	8162	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F88_assembly.fasta_contig_2	99328	99547	+	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F88_assembly.fasta_contig_2	110952	111201	-	IncR_1	1-251/251	========/======	1/1	99.60	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F88_assembly.fasta_contig_3	1257	1369	-	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F88_assembly.fasta_contig_3	5777	5885	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
