Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	38192	38419	-	DALOPK_00205	eexN	IncN-type entry exclusion lipoprotein EexN	BlastRules:WP_000734973, SO:0001217, UniRef:UniRef50_E2EAP1
contig_1	cds	38427	39140	-	DALOPK_00210	traC	TraC	SO:0001217, UniRef:UniRef50_G1CCV6
contig_1	cds	39158	41758	-	DALOPK_00215	traB	Conjugal transfer protein TraB	SO:0001217, UniRef:UniRef50_Q0ZKR5
contig_1	cds	41758	42075	-	DALOPK_00220	traA	Conjugal transfer protein TraA	SO:0001217, UniRef:UniRef50_G1CCV8
contig_1	cds	42125	42418	-	DALOPK_00225	traM	Conjugal transfer protein TraM	SO:0001217, UniRef:UniRef50_Q46696
contig_1	cds	42428	42709	-	DALOPK_00230		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A6C7H3D7
contig_1	cds	42718	43452	-	DALOPK_00235		Conjugal transfer protein	SO:0001217, UniRef:UniRef50_F6IB97
contig_1	cds	43561	43866	+	DALOPK_00240		hypothetical protein	
contig_1	cds	43882	44226	+	DALOPK_00245		CDP-alcohol phosphatidyltransferase family protein	SO:0001217, UniRef:UniRef50_A0A2Z5VJK5
contig_1	cds	44223	44537	+	DALOPK_00250		Conjugal transfer protein	SO:0001217, UniRef:UniRef50_A0A379D0F1
contig_1	cds	44573	44884	+	DALOPK_00255		hypothetical protein	
contig_1	cds	44940	45581	+	DALOPK_00260		Restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A2S1BJ74
contig_1	cds	45586	45792	+	DALOPK_00265		DNA-binding protein	SO:0001217, UniRef:UniRef50_F6IBA3
contig_1	cds	45803	46069	-	DALOPK_00270		Zn-Tnp-IS1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A348DMF8
contig_1	cds	46174	47607	+	DALOPK_00275		Type II methyltransferase M-EcoRII	SO:0001217, UniRef:UniRef50_P05101
contig_1	cds	47641	48855	-	DALOPK_00280		type II site-specific deoxyribonuclease	BlastRules:WP_143212653, SO:0001217, UniRef:UniRef50_P14633
contig_1	cds	49116	49880	-	DALOPK_00285		IS6-like element IS6100 family transposase	BlastRules:WP_001389365, SO:0001217, UniRef:UniRef50_A0A5P9CVE5
contig_1	cds	50267	50404	+	DALOPK_00290		hypothetical protein	
contig_1	cds	50415	50909	+	DALOPK_00295		Integron gene cassette protein	SO:0001217, UniRef:UniRef50_A0A0K4BXP4
contig_1	cds	50906	51085	+	DALOPK_00300		hypothetical protein	
contig_1	cds	51015	51854	-	DALOPK_00305	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	NCBIProtein:WP_000259031.1, SO:0001217, UniRef:UniRef50_A0A3M1L060
contig_1	cds	51848	52195	-	DALOPK_00310	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NCBIProtein:WP_000679427.1, SO:0001217, UniRef:UniRef50_A0A2Z3XFM5
contig_1	cds	52379	52852	-	DALOPK_00315	dfrA25	trimethoprim-resistant dihydrofolate reductase DfrA25	NCBIProtein:WP_029391998.1, SO:0001217, UniRef:UniRef50_Q934B2
contig_1	ncRNA-region	52850	52918	-			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	cds	53008	54021	+	DALOPK_00320	intI1	class 1 integron integrase IntI1	BlastRules:WP_000845054, SO:0001217, UniRef:UniRef50_A0A257FG49
contig_1	cds	54414	54893	+	DALOPK_00325		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6C7H1M7
contig_1	cds	55517	56836	+	DALOPK_00330	tnp	IS1182 family ISKpn6 transposase	IS:ISKpn6, SO:0001217, UniRef:UniRef50_A0A2Z2P096
contig_1	cds	57086	57967	-	DALOPK_00335	blaKPC-2	carbapenem-hydrolyzing class A beta-lactamase KPC-2	NCBIProtein:WP_004199234.1, SO:0001217, UniRef:UniRef50_Q848S6
contig_1	cds	58019	58258	-	DALOPK_00340		hypothetical protein	
contig_1	cds	58255	59034	-	DALOPK_00345	istB	IS21-like element ISKpn7 family helper ATPase IstB	BlastRules:WP_004152394, SO:0001217, UniRef:UniRef50_A0A1Y0FGF8
contig_1	cds	59031	60056	-	DALOPK_00350	tnp	IS21 family ISKpn7 transposase	IS:ISKpn7, SO:0001217, UniRef:UniRef50_A0A1Y0FKH1
contig_1	cds	60163	63192	-	DALOPK_00355	tnpA	Tn3-like element Tn4401 family transposase	BlastRules:WP_004152392, SO:0001217, UniRef:UniRef50_A0A376VVM6
contig_1	cds	63302	65017	+	DALOPK_00360	tnpR	Tn3-like element Tn4401 family resolvase TnpR	BlastRules:WP_004152391, SO:0001217, UniRef:UniRef50_A0A063BFN6
contig_1	cds	65312	65467	+	DALOPK_00365		Transposase	SO:0001217, UniRef:UniRef50_H6X424
contig_1	cds	65516	66508	+	DALOPK_00370		Nucleotidyl transferase AbiEii/AbiGii toxin family protein	SO:0001217, UniRef:UniRef50_A0A0H3FIW9
contig_1	cds	67030	67512	-	DALOPK_00375	blaTEM	TEM family class A beta-lactamase	NCBIProtein:WP_000027057.1
contig_1	cds	67624	68328	-	DALOPK_00380	tnp	IS6 family IS15DIV transposase	IS:IS15DIV, SO:0001217, UniRef:UniRef50_Q573Q1
contig_1	cds	68375	69643	-	DALOPK_00385		Integrase catalytic region	SO:0001217, UniRef:UniRef50_C5TC55
contig_1	cds	69718	70425	-	DALOPK_00390		hypothetical protein	PFAM:PF00563.23
contig_1	cds	70422	70658	-	DALOPK_00395	merE	broad-spectrum mercury transporter MerE	NCBIFam:NF010310.2, SO:0001217, UniRef:UniRef50_Q935L2
contig_1	cds	70655	71017	-	DALOPK_00400	merD	mercury resistance co-regulator MerD	NCBIFam:NF033783.1, SO:0001217, UniRef:UniRef50_A0A2R3IL41
contig_1	cds	71035	72729	-	DALOPK_00405	merA	mercury(II) reductase	NCBIFam:TIGR02053.1, SO:0001217, UniRef:UniRef50_P00392
contig_1	cds	72781	73203	-	DALOPK_00410	merC	organomercurial transporter MerC	NCBIProtein:AAC33908.1, SO:0001217, UniRef:UniRef50_A0A0A1H6J0
contig_1	cds	73365	73742	-	DALOPK_00415		Transposase	SO:0001217, UniRef:UniRef50_A0A6N3QHQ2
contig_1	cds	73787	74062	-	DALOPK_00420	tnp	IS1 family ISKpn14 transposase ORF A	IS:ISKpn14, SO:0001217, UniRef:UniRef50_A0A2I8SHZ5
contig_1	cds	74096	74806	-	DALOPK_00425	recF	DNA replication and repair protein RecF	SO:0001217, UniRef:UniRef50_A0A6G7ICR3
contig_1	cds	74880	75281	-	DALOPK_00430	vapC	Ribonuclease VapC	SO:0001217, UniRef:UniRef50_A0A833V3M6
contig_1	cds	75293	75523	-	DALOPK_00435		AbrB/MazE/SpoVT family DNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_Q0H049
contig_1	cds	76111	76329	+	DALOPK_00440		hypothetical protein	PFAM:PF07362.15
contig_1	cds	76331	76636	+	DALOPK_00445	ccdB	Toxin CcdB	SO:0001217, UniRef:UniRef50_A0A0J5FXM9
contig_1	cds	76682	77827	+	DALOPK_00450		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1G4DF59
contig_1	cds	77822	77965	-	DALOPK_00455		hypothetical protein	
contig_1	cds	78025	78819	+	DALOPK_00460	resD	Resolvase ResD	SO:0001217, UniRef:UniRef50_A0A2P9E5F7
contig_1	cds	78906	79103	-	DALOPK_00465		hypothetical protein	
contig_1	cds	79275	79577	-	DALOPK_00470		Par-like protein	SO:0001217, UniRef:UniRef50_S1PMW8
contig_1	cds	79574	80200	-	DALOPK_00475	parA	ParA family plasmid-partitioning AAA ATPase	BlastRules:WP_010260829, SO:0001217, UniRef:UniRef50_A0A1T4UUQ7
contig_1	oriC	80201	80832	?			origin of replication	
contig_1	cds	80833	81708	-	DALOPK_00480	repB	RepB family plasmid replication initiator protein	SO:0001217, UniRef:UniRef50_A0A1I3SCP3
contig_1	cds	82120	83391	-	DALOPK_00485	umuC	Protein UmuC	SO:0001217, UniRef:UniRef50_P04152
contig_1	cds	83391	83822	-	DALOPK_00490	samA	Protein SamA	SO:0001217, UniRef:UniRef50_A0A379XIG3
contig_1	cds	84057	85028	+	DALOPK_00495	stbA	StbA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7I7AGK1
contig_1	cds	85031	85702	+	DALOPK_00500		Mediator of plasmid stability	SO:0001217, UniRef:UniRef50_A0A3G4RIK5
contig_1	cds	85765	85995	+	DALOPK_00505		DUF2892 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q8YLE1
contig_1	cds	86432	87133	+	DALOPK_00510	yubD	Putative methylase YubD	SO:0001217, UniRef:UniRef50_Q9S4X2
contig_1	cds	87133	87354	+	DALOPK_00515		Cytoplasmic protein	SO:0001217, UniRef:UniRef50_A0A093DB27
contig_1	cds	87364	87783	+	DALOPK_00520		DUF1380 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2X3IUI6
contig_1	cds	87837	88604	+	DALOPK_00525		Inner membrane protein	SO:0001217, UniRef:UniRef50_F1C5P6
contig_1	cds	89237	89665	+	DALOPK_00530		Antirestriction protein	SO:0001217, UniRef:UniRef50_A0A069FPX5
contig_1	cds	89708	90214	+	DALOPK_00535	ardA	Antirestriction protein ArdA	SO:0001217, UniRef:UniRef50_A0A663AP84
contig_1	cds	90257	90448	+	DALOPK_00540		Plasmid protein	SO:0001217, UniRef:UniRef50_Q1A2M1
contig_1	cds	90636	90890	+	DALOPK_00545		DNA polymerase III subunit theta	SO:0001217, UniRef:UniRef50_W9BAL1
contig_1	cds	90925	91242	+	DALOPK_00550		Transporter	SO:0001217, UniRef:UniRef50_A0A7H4N997
contig_1	cds	92038	92580	+	DALOPK_00555		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A4V3UXC0
contig_1	cds	92629	92877	+	DALOPK_00560		DUF905 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2N0VUA9
contig_1	cds	92947	95004	+	DALOPK_00565		ParB/RepB/Spo0J family partition protein	SO:0001217, UniRef:UniRef50_A0A0H2W0J9
contig_1	cds	95049	95480	+	DALOPK_00570	psiB	Protein PsiB	SO:0001217, UniRef:UniRef50_P10032
contig_1	cds	95477	96205	+	DALOPK_00575		Plasmid SOS inhibition protein A	SO:0001217, UniRef:UniRef50_A0A0J1M3S7
contig_1	cds	96202	96528	+	DALOPK_00580		Theronine dehydrogenase	SO:0001217, UniRef:UniRef50_A0A0C7AUG8
contig_1	cds	96584	96958	+	DALOPK_00585		Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A078JZ49
contig_1	ncRNA	97017	97191	+	DALOPK_00590	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_1	cds	97162	97683	+	DALOPK_00595	tnp	IS3 family ISKpn8 transposase ORF A	IS:ISKpn8, SO:0001217, UniRef:UniRef50_F5NU29
contig_1	cds	97680	98531	+	DALOPK_00600	tnp	IS3 family ISKpn8 transposase ORF B	IS:ISKpn8, SO:0001217, UniRef:UniRef50_K0PYB1
contig_1	cds	98632	98790	+	DALOPK_00605		Type I toxin-antitoxin system Hok family toxin	SO:0001217, UniRef:UniRef50_A0A7G5F650
contig_1	cds	99092	99322	-	DALOPK_00610		hypothetical protein	
contig_1	cds	99489	99761	+	DALOPK_00615		TAXi-C domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0E1CMP9
contig_1	cds	99758	100108	+	DALOPK_00620		hypothetical protein	
contig_1	cds	100123	100440	+	DALOPK_00625		DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A1Q8YUK3
contig_1	cds	101280	101636	+	DALOPK_00630		Dopa decarboxylase protein remnant	SO:0001217, UniRef:UniRef50_S5N495
contig_1	cds	101697	101909	+	DALOPK_00635		hypothetical protein	
contig_1	cds	101920	102144	+	DALOPK_00640		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A377YU09
contig_1	cds	102225	102545	+	DALOPK_00645		Type II toxin-antitoxin system RelE/ParE family toxin	SO:0001217, UniRef:UniRef50_A0A7I6U733
contig_1	cds	102535	102813	+	DALOPK_00650		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUS1
contig_1	cds	102814	103227	+	DALOPK_00655		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_G9G282
contig_1	cds	103945	104325	+	DALOPK_00660		hypothetical protein	
contig_1	cds	104392	104739	+	DALOPK_00665		DUF559 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U4T8H9
contig_1	cds	104834	104980	+	DALOPK_00670		Succinate dehydrogenase flavoprotein subunit	SO:0001217, UniRef:UniRef50_J6IMA8
contig_1	cds	105031	105864	+	DALOPK_00675		N6-Mtase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUH5
contig_1	cds	105691	106071	-	DALOPK_00680		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A078K4K2
contig_1	cds	106681	107502	+	DALOPK_00685		DUF945 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1E4GNX1
contig_1	cds	107502	107864	+	DALOPK_00690		FYR N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0E1CN52
contig_1	cds	107897	108382	-	DALOPK_00695		SLT domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4V7SNL5
contig_1	cds	108806	109189	+	DALOPK_00700	traM	Relaxosome protein TraM	SO:0001217, UniRef:UniRef50_A0A2P9E0A8
contig_1	ncRNA	109318	109395	-	DALOPK_00705	finP	FinP	RFAM:RF00107, SO:0000655
contig_1	cds	109389	110105	+	DALOPK_00710	traJ	Conjugal transfer transcriptional regulator TraJ	SO:0001217, UniRef:UniRef50_A0A2S1FVE4
contig_1	cds	110509	110877	+	DALOPK_00715		Pilin	SO:0001217, UniRef:UniRef50_P04737
contig_1	cds	110891	111196	+	DALOPK_00720	traL	Protein TraL	SO:0001217, UniRef:UniRef50_A0A2A7U827
contig_1	cds	111216	111782	+	DALOPK_00725	traE	Protein TraE	SO:0001217, UniRef:UniRef50_P08322
contig_1	cds	111769	112509	+	DALOPK_00730	traK	TraK protein	SO:0001217, UniRef:UniRef50_A0A8H9E1S4
contig_1	cds	112509	113933	+	DALOPK_00735	traB	Conjugal transfer protein TraB	SO:0001217, UniRef:UniRef50_A0A7M1HZG2
contig_1	cds	113926	114522	+	DALOPK_00740	traP	Conjugal transfer protein TraP	SO:0001217, UniRef:UniRef50_A0A8A6WLW4
contig_1	cds	114557	115129	+	DALOPK_00745	traV	TraV protein	SO:0001217, UniRef:UniRef50_Q65AH6
contig_1	cds	116022	116240	+	DALOPK_00750		hypothetical protein	
contig_1	cds	116241	116558	+	DALOPK_00755		Group-specific protein	SO:0001217, UniRef:UniRef50_U9YTM4
contig_1	cds	116625	117029	+	DALOPK_00760		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A0E1CMP8
contig_1	cds	117072	117371	+	DALOPK_00765	hdeA	Acid stress chaperone HdeA	SO:0001217, UniRef:UniRef50_W1EDG8
contig_1	cds	117388	117777	+	DALOPK_00770		Transmembrane protein	SO:0001217, UniRef:UniRef50_G9G2K2
contig_1	cds	117849	120488	+	DALOPK_00775	traC	Conjugal transfer ATP-binding protein TraC	SO:0001217, UniRef:UniRef50_A0A483G4M3
contig_1	cds	120488	120877	+	DALOPK_00780	trbI	Type-F conjugative transfer system protein TrbI	SO:0001217, UniRef:UniRef50_A0A660G2X5
contig_1	cds	120877	121503	+	DALOPK_00785	traW	TraW protein	SO:0001217, UniRef:UniRef50_Q65AH1
contig_1	cds	121545	121934	+	DALOPK_00790		DUF4381 domain-containing protein	SO:0001217, UniRef:UniRef50_D4HQL1
contig_1	cds	121931	122920	+	DALOPK_00795	traU	Conjugal transfer pilus assembly protein TraU	SO:0001217, UniRef:UniRef50_A0A377XBC4
contig_1	cds	122933	123571	+	DALOPK_00800	trbC	Type-F conjugative transfer system pilin assembly protein TrbC	SO:0001217, UniRef:UniRef50_A0A328TUH1
contig_1	cds	123630	125585	+	DALOPK_00805	traN	Type-F conjugative transfer system mating-pair stabilization protein TraN	SO:0001217, UniRef:UniRef50_A0A483K5L9
contig_1	cds	125617	125853	+	DALOPK_00810	trbE	Conjugal transfer protein TrbE	SO:0001217, UniRef:UniRef50_A0A7H4N3R5
contig_1	cds	125850	126035	+	DALOPK_00815		Succinate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A483I570
contig_1	cds	126081	126407	+	DALOPK_00820		DUF2500 domain-containing protein	SO:0001217, UniRef:UniRef50_G9G2J2
contig_1	cds	126428	127180	+	DALOPK_00825	traF	Type-F conjugative transfer system pilin assembly protein TraF	SO:0001217, UniRef:UniRef50_A0A7S9DQZ0
contig_1	cds	127191	127430	+	DALOPK_00830	traQ	Conjugal transfer pilin chaperone TraQ	SO:0001217, UniRef:UniRef50_A0A485D2U1
contig_1	cds	127402	127959	+	DALOPK_00835	trbB	Type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	SO:0001217, UniRef:UniRef50_A0A1Q6ASH6
contig_1	cds	128005	128448	+	DALOPK_00840	trbF	Conjugal transfer protein TrbF	SO:0001217, UniRef:UniRef50_A0A7D5FZA7
contig_1	cds	128438	129805	+	DALOPK_00845	traH	Conjugal transfer protein TraH	SO:0001217, UniRef:UniRef50_A0A062WMG0
contig_1	cds	129805	132654	+	DALOPK_00850		TraG-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7M1I3R1
contig_1	ncRNA	130524	130609	-	DALOPK_00855	AS-traG	Antisense to traG	RFAM:RF02874, SO:0000644
contig_1	cds	132651	133187	+	DALOPK_00860	traS	Conjugal transfer entry exclusion protein TraS	SO:0001217, UniRef:UniRef50_A0A7D3P619
contig_1	cds	133376	134107	+	DALOPK_00865	traT	TraT complement resistance protein	SO:0001217, UniRef:UniRef50_P13979
contig_1	cds	134298	134420	+	DALOPK_00870		hypothetical protein	
contig_1	cds	134467	136749	+	DALOPK_00875	traD	Conjugal transfer protein TraD	SO:0001217, UniRef:UniRef50_A0A331MFF0
contig_1	cds	136749	142007	+	DALOPK_00880	traI	OriT nicking and unwinding protein TraI (DNA helicase I)	SO:0001217, UniRef:UniRef50_A0A2P9E096
contig_1	cds	142088	142813	+	DALOPK_00885	traX	Type-F conjugative transfer system pilin acetylase TraX	SO:0001217, UniRef:UniRef50_A0A2X1QG02
contig_1	cds	142885	143478	+	DALOPK_00890		Fertility inhibition protein	SO:0001217, UniRef:UniRef50_A0A3P2IM00
contig_1	cds	143645	144241	+	DALOPK_00895		PIN7 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C7AUF4
contig_1	cds	144291	144512	+	DALOPK_00900		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A2W7TCE6
contig_1	cds	144568	145218	+	DALOPK_00905		DUF2726 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2Z2GWV6
contig_1	cds	145215	145523	+	DALOPK_00910		Prophage protein	SO:0001217, UniRef:UniRef50_W7NMJ6
contig_1	cds	145618	146178	+	DALOPK_00915		Phospholipase D	SO:0001217, UniRef:UniRef50_A0A663BIQ2
contig_1	cds	146314	146583	+	DALOPK_00920	copB	Protein CopB	SO:0001217, UniRef:UniRef50_A0A2S1JDS7
contig_1	ncRNA	146689	146777	-	DALOPK_00925	copA	CopA-like RNA	RFAM:RF00042, SO:0000655
contig_2	cds	1	1014	+	DALOPK_00930		Replication initiation protein	SO:0001217, UniRef:UniRef50_P13961
contig_2	cds	1338	1637	-	DALOPK_00935		hypothetical protein	
contig_2	cds	2088	2942	+	DALOPK_00940		hypothetical protein	
contig_2	cds	3169	4236	-	DALOPK_00945		hypothetical protein	PFAM:PF00672.28
contig_2	cds	4229	7234	-	DALOPK_00950		Tn3-like element Tn3 family transposase	BlastRules:WP_032495017, SO:0001217, UniRef:UniRef50_P03008
contig_2	cds	7396	7953	+	DALOPK_00955		Transposon Tn1331 resolvase	SO:0001217, UniRef:UniRef50_P21424
contig_2	cds	8136	8741	+	DALOPK_00960	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	NCBIProtein:WP_063840280.1, SO:0001217, UniRef:UniRef50_P19650
contig_2	cds	8823	9080	+	DALOPK_00965		hypothetical protein	PFAM:PF18765.4
contig_2	cds	9092	9796	+	DALOPK_00970	tnp	IS6 family IS15DIV transposase	IS:IS15DIV, SO:0001217, UniRef:UniRef50_Q573Q1
contig_2	cds	10116	10250	-	DALOPK_00975		hypothetical protein	
contig_2	cds	11013	11879	+	DALOPK_00980		Uncharacterized protein	SO:0001217, UniRef:UniRef50_P18351
contig_2	oriC	11880	12238	?			origin of replication	
contig_2	cds	12740	13945	+	DALOPK_00985		Plasmid partition protein A	SO:0001217, UniRef:UniRef50_P07620
contig_2	cds	13945	14919	+	DALOPK_00990		Plasmid Partition par B protein	SO:0001217, UniRef:UniRef50_P07621
contig_2	cds	15001	16272	-	DALOPK_00995	umuC	Protein UmuC	SO:0001217, UniRef:UniRef50_P04152
contig_2	cds	16272	16703	-	DALOPK_01000	samA	Protein SamA	SO:0001217, UniRef:UniRef50_A0A379XIG3
contig_2	cds	17109	18596	+	DALOPK_01005		Retron-type reverse transcriptase	SO:0001217, UniRef:UniRef50_A0A2X1Q015
contig_2	cds	18748	19023	+	DALOPK_01010	tnp	IS1 family IS1X3 transposase ORF A	IS:IS1X3, SO:0001217, UniRef:UniRef50_A0A2I8SHZ5
contig_2	cds	19068	19445	+	DALOPK_01015		Transposase	SO:0001217, UniRef:UniRef50_A0A6N3QHQ2
contig_2	oriC	19764	20368	?			origin of replication	
contig_2	cds	19806	20429	-	DALOPK_01020		hypothetical protein	
contig_2	cds	20944	21912	+	DALOPK_01025		IS5 family transposase	SO:0001217, UniRef:UniRef50_A0A7T5UB26
contig_2	cds	21954	22043	-	DALOPK_01030		hypothetical protein	
contig_2	cds	22052	22438	-	DALOPK_01035	stbA	StbA	SO:0001217, UniRef:UniRef50_A0A1V2G4P2
contig_2	cds	22985	23401	+	DALOPK_01040	traK	TraK protein	SO:0001217, UniRef:UniRef50_A0A485C5B5
contig_2	cds	23403	24932	+	DALOPK_01045		type IV secretion system DNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001F38762F
contig_2	cds	24932	28174	+	DALOPK_01050		ATP-dependent RecD-like DNA helicase	SO:0001217, UniRef:UniRef50_A0A6G8F840
contig_2	cds	28174	28347	+	DALOPK_01055		hypothetical protein	
contig_2	cds	28497	29195	+	DALOPK_01060		hypothetical protein	
contig_2	cds	29227	30426	-	DALOPK_01065	tet(A)	tetracycline efflux MFS transporter Tet(A)	NCBIProtein:WP_012579085.1, SO:0001217, UniRef:UniRef50_A0A3Q8VRE3
contig_2	cds	30505	31182	+	DALOPK_01070	tetR(A)	tetracycline resistance transcriptional repressor TetR(A)	BlastRules:WP_000164043, SO:0001217, UniRef:UniRef50_P03038
